,borges,oliveira,braz,canneti
1,383382.0,268584.0,378328.0,387714.0
2,288487.0,186276.0,296020.0,258256.0
3,169366.0,152464.0,166972.0,174846.0
4,109750.0,128516.0,106901.0,116256.0
5,57887.0,126352.0,51984.0,64909.0
6,3610.0,17328.0,4332.0,4332.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,167637.0,254868.0,158885.0,181165.0
12,3610.0,17328.0,4332.0,4332.0
