after,before,cut,cut_vol,vol_cut
7592.4,9813,2220.6,7403.4804,"nil"
8705.640141405,9764,1058.359858595,3528.5717685558,"nil"
10544.467534576,11415,870.53246542359,2902.3552397222,"nil"
13835,13835,0,"nil","nil"
