all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,nao_comerc,proib_cort,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,156.0,17.0,3701.0,3210.0,693
8064,2349.2585204617,1289.7289651087,234.98618,458.48918791944,1288.7240587219,1166.80944,471.234,282.2,567.18,109.34335685438,12.927943401628,1901.2300153324,1636.9393964859,527
8870,3387.2173718629,2033.4085726961,370.03148129,165.50104398,593.19921788,907.30609648,602.45555086747,320.83231895461,550.005151,132.25910973595,16.281174089069,1659.4573741836,833.64305406565,477
9738,3412.589932785,2563.3276733095,769.231979303,230.93747404452,352.35109855136,697.33896874216,671.54634714229,477.60817766916,658.46551015207,144.37179511054,17.665789473684,1710.5459846329,699.0,473
9388,3324.3194978845,2767.6162299516,1113.0597579411,454.69448007521,286.02436680855,330.74499828965,307.6037446198,341.97200886271,642.43114116534,132.77385495605,18.389773379298,936.14124641629,749.4737854514,390
10378,3552.3839672956,2879.8272044954,1290.0215072405,704.6738006765,353.26780838405,305.91342955562,300.20172911499,358.83482360044,779.54241392602,144.54626151012,20.286274831063,1151.1811520207,936.30150229542,409
11440,3775.6471511551,3068.5258815879,1436.2304074852,913.14551391439,496.36894918259,322.39636522724,283.37206432077,363.7408200164,922.27493407219,162.83605203969,22.13842998585,1388.7924800546,1220.1366047773,419
11481,3862.1781891818,3161.6514309938,1561.3750596036,1106.5053616681,670.15112444036,332.11321767222,160.85035698387,172.14886370525,616.7730024271,157.43402723448,23.604962535093,829.928659081,1515.221832422,341
12627,4120.1118186403,3359.9828993341,1661.9505121655,1251.297423609,843.14608268009,482.61892359127,232.33947439143,184.10924182952,677.57002019069,176.89470440074,26.755970591365,1095.1930160746,1814.8158500437,395
13915,4376.4379737292,3593.4184872766,1780.3664139788,1374.7793834878,1004.0493468325,646.25860501442,339.04255500191,230.54765254659,754.32985499001,200.91031845429,29.176133761528,1488.0694519522,2077.4643275127,446
