all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,nao_comerc,proib_cort,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,156.0,17.0,3701.0,3210.0,693
8054,2362.4380914039,1250.0413541664,259.77068,443.22755873669,1278.6829479046,1184.64072,465.989,273.82,590.0,109.34335685438,12.927943401628,1907.329539142,1619.8398726763,529
8837,3412.3498803902,1952.3815768325,416.658986198,159.96767493,575.72199830422,911.81270539689,610.13981576322,293.48539240843,596.42024,131.07844829213,16.665789473684,1682.3565893019,819.18023588383,480
9755,3436.269958772,2413.5064327625,854.08854472527,247.90337590297,336.41169538967,690.34587004577,672.44425107661,444.89840701065,733.14892642647,144.6320528052,17.742712550607,1737.1568558094,696.0,477
9387,3352.6446319257,2556.7393389918,1204.6299313246,504.90000544107,285.90594098162,324.33311263724,303.51928146728,300.37628201032,713.25652423448,133.52225923547,18.476248503211,964.79335190145,778.46197925091,387
10381,3584.2256267402,2641.9398705536,1363.0971302353,769.81816236478,381.80407164201,300.90593416197,287.18164088511,294.59296654389,878.83825109927,144.85520563806,20.071633527544,1203.7374582982,1017.4768069395,404
11407,3810.9583081662,2801.5492035956,1494.5585332364,978.06775365902,551.6775804157,333.03746871035,267.17174942474,281.70245844255,1041.0215616846,163.70606398374,21.840455348997,1458.2459516858,1324.1709860539,422
11423,3886.6038276522,2875.3357203506,1605.8391981809,1161.4953977802,743.67087021416,370.10333772785,159.71046872624,129.26423425268,650.14342722053,157.87559593073,23.081816467797,864.25434409229,1631.2902671705,341
12577,4148.533143715,3046.4590318884,1690.5650608188,1288.2176743654,921.3636076823,542.62193162485,249.42647835685,144.26541202213,714.18642961896,177.06310398935,25.852415167343,1181.5172176874,1906.984963371,396
13854,4409.6144232701,3245.6320425788,1801.3684773337,1398.8093046496,1076.6456159329,719.99250949649,374.3934255055,202.35280298117,797.84137083185,203.02197626923,28.75420226913,1609.4471373615,2168.9681038669,453
